time,symbol,title
2024-12-31,ACB,ACB: Mr. Nguyen Van Hoa resigns as a financial director from 1.1.2025
2024-11-01,ACB,"The names of the largest profit of the stock market in the third quarter of 2024: Vinhomes 'demand' the throne, a surprise name"
2024-10-21,ACB,"ACB: Resolution of the Board of Directors No. 4299/TCQ?-H?QT.24, 4303/TCQ?-H?QT.24, 4304/TCQ?-H?QT.24 dated October 21, 2024"
2024-09-27,ACB,ACB: Reminding slow CBTT Resolution of the Board of Directors No. 910/TCQ?-H?QT.23 dated 12/04/2023
2024-09-19,ACB,"The female giant family of the ship industry brought VND 4,000 billion to buy 1 bank shares, away from the portfolio of most securities companies in Vietnam"
2024-08-30,ACB,"Announcing the top 20 banks to submit the largest budget on the list of VNTAX 200: including the State, private and foreign blocks"
2024-08-08,ACB,ACB: Resolution of the Board of Directors on the 2nd individual bond issuance plan in the fiscal year 2024
2024-07-24,ACB,"ACB credit growth doubled the industry average, leading the market in terms of efficiency in the first 6 months of 2024"
2024-07-24,ACB,ACB: Explanation of profit after tax difference in quarter 2/2024 compared to the second quarter of 2023
2024-07-23,ACB,ACB: Notice of signing audit contracts 2024
2024-07-22,ACB,ACB: Report on the company management situation in the first 6 months of 2024
2024-07-22,ACB,ACB: Re -appoint Ms. Nguyen Thi Tuyet Van as Deputy General Director
2024-07-12,ACB,ACB: Notice of fulfilling tax payment obligations
2024-07-09,ACB,ACB: Company Charter 2024
2024-07-03,ACB,ACB: Notice of change of establishment and operation license
2024-07-03,ACB,ACB: Notice of amendment of charter capital in the Bank Charter
2024-07-02,ACB,"ACB: Mr. Nguyen Van Hoa's mother -in -law - a member of the Board of Directors bought 6,000,000 shares"
2024-07-01,ACB,ACB: Re -appoint Mr. Nguyen Van Hoa as Deputy General Director
2024-06-28,ACB,ACB: Notice of changing the 40th registration certificate
2024-06-28,ACB,ACB: Notice of stock trading changes to the listing registration
2024-06-26,ACB,"ACB: 27.6.2024, additional listing 582,607,554 shares"
2024-06-25,ACB,"ACB: Mr. Nguyen Van Hoa's mother -in -law - Member of the Board of Directors registered to buy 6,000,000 shares"
2024-06-20,ACB,ACB and Misa shook hands together to support businesses and business households to change numbers
2024-06-13,ACB,ACB: Transaction notice between ACB and related people of internal people
2024-06-07,ACB,Nearly 583 million ACB shares are coming to the investor account
2024-06-06,ACB,"ACB: The number of voting shares is circulating is 4,466,657,912 shares"
2024-06-06,ACB,"ACB: issued 582,607,554 shares to pay dividends"
2024-05-24,ACB,"ACB: 31.5.2024, Date of Education and Dividend in 2023 in cash (10%), CP dividend payment (100: 15 ratio)"
2024-05-23,ACB,ACB: Notice of shares to pay dividends in 2023
2024-05-23,ACB,ACB: Notice the day DKC to exercise the right to pay dividends in 2023 in cash and stocks
2024-05-17,ACB,"ACB: Resolution of the Board of Directors on May 16, 2024"
2024-05-14,ACB,ACB: Notice of changing the Certificate
2024-05-01,ACB,Mr. Tran Mong Hung - the founder of ACB died at the age of 72
2024-04-10,ACB,ACB: Company Charter 2024
2024-04-05,ACB,ACB: Minutes of meetings and resolutions of the annual shareholder meeting in 2024
2024-04-05,ACB,ACB: The Resolution of the Board of Directors implemented a share issuance plan to pay dividends in 2023
2024-04-04,ACB,"ACB Chairman Tran Hung Huy: ACB's results of ACB in the first quarter of 2024 reached about 4,900 billion VND, credit grew higher than the whole industry"
2024-04-04,ACB,"ACB AGM: closed the profit target of VND 22,000 billion in 2024, dividend of 25%"
2024-04-04,ACB,"ACB: Report on ownership of foreign investors related to large shareholders, investors hold 5% or more Truong Ngoc Phuong shares"
2024-04-01,ACB,"A foreign fund sells ACB stock after 6 years of investment, earning nearly VND 5,500 billion"
2024-04-01,ACB,ACB: Report on the day is no longer a major shareholder of the relevant state -owned group
2024-03-27,ACB,"The investor sells 145 million shares ACB, earning more than 4,000 billion dong"
2024-03-26,ACB,ACB: Report of changing ownership of the foreign investor group is the Whistler Investment Limited
2024-03-22,ACB,"ACB shares suddenly appeared a series of ""huge"" agreements, 4,000 billion to hand over between foreign investors"
2024-03-14,ACB,"ACB aims to profit of VND 22,000 billion in 2024, expected to divide in cash in a ratio of 10%"
2024-03-14,ACB,ACB: Notice of organization of the annual shareholder meeting in 2024
2024-03-07,ACB,ACB: Explanation of profit after tax difference in 2023 audit compared to 2022
2024-02-06,ACB,"ACB: 29.2.2024, Date of Education and Training to attend the annual General Meeting of Shareholders 2024"
2024-02-02,ACB,ACB: Notice of the organization of the annual shareholder meeting of 2024
2024-01-26,ACB,"ACB has completed all business goals 2023, growing higher than the industry average"
2024-01-26,ACB,"ACB: Explanation of profit after tax difference in quarter 4/2023 compared to Q4, 2022"
2024-01-25,ACB,ACB: Report on the company management situation in 2023
2024-01-25,ACB,"ACB: Re -appoint Mr. Bui Tan Tai, Mr. Nguyen Duc Thai Han as Deputy General Director"
2024-01-12,ACB,"7 months after the dance in the rain of Chairman Tran Hung Huy, ACB shares to the peak of history, capitalization reached the threshold of 100,000 billion"
2024-01-12,ACB,"ACB: Resolution of the Board of Directors on the re -appointment of Mr. Nguyen Van Hoa, Mr. Ngo Tan Long Deputy General Director"
2024-01-02,ACB,"ACB: Nhat Huy Food Joint Stock Company sold 57,500 shares"
2023-12-29,ACB,ACB: Resolution of the Board of Directors on the granting of credit
2023-12-28,ACB,"ACB: Re -appoint Mr. Nguyen Van Hoa, Deputy General Director concurrently financial director"
2023-12-22,ACB,"ACB: Nhat Huy Food Joint Stock Company registered for sale 57,500 shares"
2023-11-23,ACB,Why did ACB chose in 2023 to pioneer in publishing a separate report on sustainable development (ESG) in Vietnam?
2023-11-23,ACB,ACB: Notice of changing the contents
2023-10-31,ACB,"Top 20 biggest profit enterprises in the market: It seems like the bank's ""private playground"", nearly half of the interest rate decreases, 1 unit growth 600%"
2023-10-30,ACB,ACB: Explanation of profit after tax difference in quarter 3/2023 compared to the 3rd quarter of 2022
2023-10-25,ACB,"In the first 9 months: ACB grows stable, effective risk control"
2023-10-11,ACB,ACB: Resolution of the Board of Directors on the 2nd individual bond issuance plan in the fiscal year 2023
2023-08-29,ACB,"The company capital 5 billion foreign borrowing 1,400 billion VND at an interest rate of 20%/year to buy ACB shares paid off this debt a year early"
2023-08-22,ACB,"The company capital is 5 billion foreign borrowers of VND 1,400 billion with an interest rate of 20%/year to buy ACB shares now profit of nearly 1,000 billion in the first half of 2023"
2023-08-16,ACB,ACB: Explanation of the LNST difference at the semi -2023 semi -year review of the 2023 year compared to the same period last year
2023-08-14,ACB,ACB: Re -appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from 1.9.2023
2023-08-10,ACB,"Revealing ""super shark"" sold more than 120 million ACB shares in the trillion -dollar agreement"
2023-08-10,ACB,ACB: Report of changing ownership of the foreign investor group
2023-08-10,ACB,ACB: Dragon Financial Holdings Limited
2023-08-01,ACB,ACB: Signing the audit contract in 2023
2023-07-24,ACB,ACB: Report on the company management situation in the first 6 months of 2023
2023-07-24,ACB,ACB: Resolution of the Board of Directors on the plan to issue individual bonds for the first time in 2023
2023-07-14,ACB,ACB: Change of establishment and operation license (supplementing the content of operation)
2023-07-12,ACB,"ACB: Trading 506,615,264 additional listed shares"
2023-07-05,ACB,"ACB: 6.7.2023, additional listing 506,615,264 shares"
2023-06-30,ACB,"ACB officially increased its charter capital to nearly 39,000 billion, Chairman Tran Hung Huy owned 3.43% of the shares"
2023-06-30,ACB,ACB: Resolution of the Board of Directors regarding the content of charter capital in the company's charter
2023-06-29,ACB,ACB: 39th business registration certificate
2023-06-28,ACB,ACB: Change of establishment and operation license
2023-06-16,ACB,ACB: Resolution of the Board of Directors on the policy of cooperation between ACB and ACBS
2023-06-14,ACB,"ACB Bank wants to spend 10,000 billion bought bonds before the due date"
2023-06-12,ACB,President Tran Hung Huy has an additional 17.4 million shares of ACB and 116 billion dong after the 'lonely dance' dance on the sofa '
2023-06-09,ACB,"ACB: issued 506,615,264 shares to pay dividends"
2023-06-07,ACB,"ACB: The number of voting shares is circulating is 3,884,050,358 shares"
2023-06-07,ACB,How did ACB under President Tran Hung Huy change?
2023-06-05,ACB,ACB's 'upstream' choice on the occasion of the 30th anniversary
2023-06-02,ACB,ACB: Resolution of the Board of Directors on transactions between ACB and ACBS
2023-06-02,ACB,ACB: Resolution of the Board of Directors on education between ACB and Asia Banking and Finance Company Limited
2023-05-25,ACB,"ACB: 1.6.2023, the date of education and dividends in 2022 in cash (1,000 VND/CP), with stocks (ratio 100: 15)"
2023-05-23,ACB,ACB: Day ?KC exercises the right to pay dividends in 2022 in cash and stocks
2023-05-23,ACB,ACB: Executing shares to pay dividends 2022
2023-05-22,ACB,"The company capital 5 billion foreign borrowing VND 1,400 billion with an interest rate of 20%/year to buy ACB shares now?"
2023-05-08,ACB,"ACB recruited large -scale with more than 1,000 personnel, committed to feedback in 5 days from the candidate"
2023-05-01,ACB,"In the first quarter of 2023 ACB, more than 5,156 billion VND, an increase of 25% over the same period"
2023-04-28,ACB,ACB: Explaining the difference in LNST 1/2023 compared to the same period last year
2023-04-25,ACB,ACB: Resolution of the Board of Directors regarding the credit for the subjects under the authority of the Board of Directors
2023-04-21,ACB,ACB: Resolution of the Board of Directors Regarding the implementation of shares to pay dividends in 2022
