title,score,label
mr nguyen van hoa resign financi director 112025,0.4000000000000001,2
name largest profit stock market thirter 2024 vinhom demand throne surpris name,-0.8,0
resolut board director 4299tcqđhđqt24 4303tcqđhđqt24 4304tcqđhđqt24 date octob 21 2024,-0.4,0
remint slow cbtt resolut board director 910tcqđhđqt23 date 12042023,-0.6000000000000001,0
famal giant famili ship industri brought vnd 4000 billion buy 1 bank share away portfolio secur compani vietnam,0.4,2
announc top 20 bankk submit largest budget list vntax 200 includ state privat foreign block,0.4,2
resolut board director 2nd indicu bond issuanc plan fiscal year 2024,-0.6000000000000001,0
credit growth doubl industri averag lead market term efficiici first 6 month 2024,0.6000000000000001,2
explan profit tax differ quarter 22024 compar second quarter 2023,0.6000000000000001,2
notic sign audit contract 2024,-1.0,0
report compani manag situat first 6 month 2024,-0.6000000000000001,0
appoint ms nguyen thi tuyet van deputi gener director,-0.6000000000000001,0
notic fulfil tax payment oblig,-0.4,0
compani charter 2024,0.6000000000000001,2
notic chang establish oper licens,0.4,2
notic amend charter capit bank charter,0.4,2
mr nguyen van hoa mother law member board director bought 6000000 share,0.8,2
appoint mr nguyen van hoa deputi gener director,0.0,1
notic chang 40th registr certif,-0.4,0
notic stock trade chang list registr,-0.4,0
2762024 addit list 582607554 share,0.4,2
mr nguyen van hoa mother law member board director regist buy 6000000 share,0.4,2
misa shook hand togeth support busi busi household chang number,0.8,2
transact notic relat peopl intern peopl,0.4000000000000001,2
nearli 583 million share come investor account,0.4,2
number vote share circul 4466657912 share,-0.4,0
issu 582607554 share pay divididi,-0.4,0
3152024 date educ dividend 2023 cash 10 cp dividend payment 100 15 ratio,0.2,1
notic share pay divididid 2023,1.0,2
notic day dkc exercis right pay paysidid 2023 cash stock,1.0,2
resolut board director may 16 2024,0.2,1
notic chang certif,0.0,1
mr tran mong hung founder die age 72,-0.3,0
minut meet resolut annual sharehold meet 2024,-0.6000000000000001,0
resolut board director implat share issauc plan pay dividididi 2023,-0.6000000000000001,0
vairman tran hung huy result first quarter 2024 reach 4900 billion vnd credit grew higher whole industri,-0.8,0
agm close profit target vnd 22000 billion 2024 dividend 25,-0.8,0
report ownership foreign investor relat larg sharehold investor hold 5 truong ngoc phuong share,-0.8,0
foreign fund sell stock 6 year invest earn nearli vnd 5500 billion,0.0,1
report day longer major sharehold relev state,0.0,1
