title,symbol_price_change,symbol_price_change_ratio,VnId_score,score
ACB: Mr. Nguyen Van Hoa Resigns As A Financial Director From 1.1.2025,1,1,-0.5,0.4000000000000001
"The Names of the Largest Profit of the Stock Market in the thirter of 2024: Vinhomes 'Demand' The Throne, A Surprise Name",-1,-1,-0.5,-0.8
"ACB: Resolution of the Board of Directors No. 4299/TCQÐ-HÐQT.24, 4303/TCQÐ-HÐQT.24, 4304/TCQÐ-HÐQT.24 DATED OCTOBER 21, 2024",-1,0,-0.5,-0.4
ACB: Reminting Slow CBTT Resolution of the Board of Director No. 910/TCQÐ-HÐQT.23 DATED 12/04/2023,-1,0,-1,-0.6
"The Famale Giant Family of the ship Industry Brought VND 4,000 Billion to buy 1 Bank Shares, Away From the Portfolio of Most Securities Companies in Vietnam",1,0,0.5,0.4
"Announcing the top 20 bankks to submit the largest budget on the list of Vntax 200: Including the state, private and foreign blocks",1,0,0.5,0.4
ACB: Resolution of the board of directors on the 2nd indicual bond issuance plan in the fiscal year 2024,-1,0,-1,-0.6
"ACB Credit Growth DoubleD The Industry Average, Leading the Market in Terms of Efficiicy in the first 6 months of 2024",1,0,1,0.6000000000000001
ACB: Explanation of Profit After Tax Difference in Quarter 2/2024 Compared to the second Quarter of 2023,1,0,1,0.6000000000000001
ACB: Notice of Signing Audit Contracts 2024,-1,-1,-1,-1
ACB: Report on the company management situation in the first 6 months of 2024,-1,0,-1,-0.6
ACB: Re -Appoint Ms. Nguyen Thi Tuyet Van as Deputy General Director,-1,0,-1,-0.6
ACB: Notice of Fulfilling Tax Payment Obligations,-1,0,-0.5,-0.4
ACB: Company Charter 2024,1,0,1,0.6000000000000001
ACB: Notice of Change of Establishment and Operation License,1,0,0.5,0.4
ACB: Notice of Amendment of Charter Capital in the bank Charter,1,0,0.5,0.4
"ACB: Mr. Nguyen Van Hoa's Mother -in -Law -A Member of the Board of Director Bought 6,000,000 Shares",1,1,0.5,0.8
ACB: Re -Appoint Mr. Nguyen Van Hoa as Deputy General Director,-1,0,0.5,0
ACB: Notice of Changing the 40th Registration Certificate,-1,0,-0.5,-0.4
ACB: Notice of Stock Trading changes to the Listing Registration,-1,0,-0.5,-0.4
"ACB: 27.6.2024, Additional Listing 582,607,554 Shares",1,0,0.5,0.4
"ACB: Mr. Nguyen Van Hoa's Mother -in -Law -Member of the Board of Directored Registered to Buy 6,000,000 Shares",1,0,0.5,0.4
ACB and Misa Shook Hands Together to support Businesses and Business Households to Change Numbers,1,1,0.5,0.8
ACB: Transaction notice between ACB and related people of Internal people,1,1,-0.5,0.4000000000000001
Nearly 583 Million ACB Shares Are Coming to the Investor Account,1,0,0.5,0.4
"ACB: The number of Voting Shares is Circulating is 4,466,657,912 Shares",-1,0,-0.5,-0.4
"ACB: ISSUED 582,607,554 Shares to Pay Divididi",-1,0,-0.5,-0.4
"ACB: 31.5.2024, Date of Education and DIVIDend in 2023 in Cash (10%), CP DIVIDend Payment (100: 15 Ratio)",1,1,-1,0.20000000000000007
ACB: Notice of Shares to pay DividiDID IN 2023,1,1,1,1
ACB: Notice the day dkc to exercise the right to pay to paysiDID in 2023 in cash and stocks,1,1,1,1
"ACB: Resolution of the board of director on May 16, 2024",-1,0,1,0.2
ACB: Notice of Changing the Certificate,1,0,-0.5,0
Mr. Tran Mong Hung - The Founder of ACB DIED at the Age of 72,-1,0,-0.25,-0.3
ACB: Minutes of Meetings and Resolutions of the Annual Shareholder Meeting in 2024,-1,0,-1,-0.6
ACB: The Resolution of the Board of Director Implationed a share ISSAUce Plan To Pay DividiDIDI IN 2023,-1,0,-1,-0.6
"ACB VAIRMAN TRAN HUNG HUY: ACB's Results of ACB in the First Quarter of 2024 Reached About 4,900 Billion VND, Credit Grew Higher Than the Whole Industry",-1,-1,-0.5,-0.8
"ACB AGM: Closed the Profit Target of VND 22,000 Billion in 2024, DIVIDend of 25%",-1,-1,-0.5,-0.8
"ACB: Report on Ownership of Foreign Investors Related to Large Shareholders, Investors Hold 5% or More Truong Ngoc Phuong Shares",-1,-1,-0.5,-0.8
"A Foreign Fund Sells ACB Stock After 6 years of Investment, Earning Nearly VND 5,500 Billion",1,0,-0.5,0
ACB: Report on the day is no longer a major shareholder of the relevant state,1,0,-0.5,0
"The Investor Sells 145 Million Shares ACB, Earning More Than 4,000 Billion Dong",1,0,-0.5,0
ACB: Report of Changing Ownership of the Foreign Investor Group is the Whistler Investment Limited,1,1,0.5,0.8
"ACB Shares Seddenly Appieved A Series of ""Huge"" Agreements, 4,000 Billion to Hand Over Between Foreign Investors",-1,0,1,0.2
"ACB Aims to Profit of VND 22,000 Billion in 2024, Expected to divide in cash in a ratio of 10%",-1,0,-1,-0.6
ACB: Notice of Organization of the Annual Shareholder Meeting in 2024,-1,0,-1,-0.6
ACB: Explanation of Profit After Tax Difference in 2023 Audit Compared to 2022,-1,0,1,0.2
"ACB: 29.2.2024, Date of Education and Training to Attend The Annual General Meeting of Shareholders 2024",-1,0,0.5,0
ACB: Notice of the Organization of the Annual Shareholder Meeting of 2024,1,1,-1,0.20000000000000007
"ACB has Completed All Business Goals 2023, Growing Higher Than the Industry Average",1,1,0.5,0.8
"ACB: Explanation of Profit After Tax Difference in Quarter 4/2023 Compared to Q4, 2022",1,1,0.5,0.8
ACB: Report on the company management situion in 2023,-1,0,-0.5,-0.4
"ACB: Re -Appoint Mr. Bui Tan Tai, Mr. Nguyen Duc Thai Han as Deputy General Director",-1,0,-0.5,-0.4
"7 Months After The Dance in the Rain of Chairman Tran Hung Huy, ACB Shares to the Peak of History, Capitalization Reached The Threshold of 100,000 Billion",1,1,-1,0.20000000000000007
"ACB: Resolution of the Board of Directors on the Re -Appointment of Mr. Nguyen Van Hoa, Mr. Ngo Tan Long Deputy General Director",1,1,-1,0.20000000000000007
"ACB: Nhat Huy Food Joint Stock Company Sold 57,500 Shares",1,1,-1,0.20000000000000007
ACB: Resolution of the Board of Director on the Granting of Credit,-1,0,-0.5,-0.4
"ACB: Re -Appoint Mr. Nguyen Van Hoa, Deputy General Director Concurrently Financial Director",1,1,0.5,0.8
"ACB: Nhat Huy Food Joint Stock Company Registered for Sale 57,500 Shares",-1,0,0.5,0
Why did ACB Chose in 2023 to pioneer in publishing a Separate report on Sustainable Development (ESG) in Vietnam?,-1,-1,-1,-1
ACB: Notice of Changing the Contents,-1,-1,-1,-1
"Top 20 Biggest Profit Enterprises in the Market: It Seems Like The Bank's ""Private Playground"", Nearly Half of the Interest Rate Decreases, 1 Unit Growth 600%",1,0,-1,-0.2
ACB: Explanation of Profit After Tax Difference in Quarter 3/2023 Compared to the 3rd Quarter of 2022,-1,0,-0.5,-0.4
"In the first 9 months: ACB Grows Stable, Effective Risk Control",-1,0,-0.5,-0.4
ACB: Resolution of the board of directors on the 2nd indicual bond issue plan in the fiscal year 2023,-1,0,0.5,0
"The company Capital 5 Billion Foreign Borrowing 1,400 Billion VND at an interest rate of 20%/year to buy to buy Buy ACB Shares Paid off this debt a year Early",-1,0,-0.5,-0.4
"The company Capital is 5 Billion Foreign Borrowers of VND 1,400 Billion with an interest rate of 20%/year to buy to buy Buy ACB Shares Now Profit of Nearly 1,000 Billion in the first Half of 2023",-1,0,0.5,0
ACB: Explanation of the LNST Difference at the Semi -2023 Semi -Year Review of the 2023 Year Compared to the Same Period last year,1,0,0.5,0.4
ACB: Re -Appointing Ms. Nguyen Thi Tuyet Van as Deputy General Director from 1.9.2023,1,0,-1,-0.2
